"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296500084","05:39:00","05:39:00","123","3","Irvine","0","05:39:00","1"
"296500084","05:51:00","05:51:00","148","4","Irvine","0","05:51:00","1"
"296500084","05:59:00","05:59:00","147","5","Irvine","0","05:59:00","1"
"296500084","06:04:00","06:04:00","173","6","Irvine","0","06:04:00","1"
"296500084","06:23:00","06:23:00","171","7","Irvine","0","06:23:00","1"
"296500084","06:30:00","06:30:00","145","8","Irvine","0","06:30:00","1"
"296500084","06:36:00","06:36:00","154","9","Irvine","0","06:36:00","1"
"296500084","06:42:00","06:42:00","156","10","Irvine","0","06:42:00","1"
"296500084","06:53:00","06:53:00","140","11","Irvine","0","06:53:00","1"
"296500085","05:54:00","05:54:00","185","1","Laguna Niguel / Mission Viejo","0","05:54:00","1"
"296500085","05:59:00","05:59:00","124","2","Laguna Niguel / Mission Viejo","0","05:59:00","1"
"296500085","06:15:00","06:15:00","123","3","Laguna Niguel / Mission Viejo","0","06:15:00","1"
"296500085","06:27:00","06:27:00","148","4","Laguna Niguel / Mission Viejo","0","06:27:00","1"
"296500085","06:35:00","06:35:00","147","5","Laguna Niguel / Mission Viejo","0","06:35:00","1"
"296500085","06:40:00","06:40:00","173","6","Laguna Niguel / Mission Viejo","0","06:40:00","1"
"296500085","07:00:00","07:00:00","171","7","Laguna Niguel / Mission Viejo","0","07:00:00","1"
"296500085","07:06:00","07:06:00","145","8","Laguna Niguel / Mission Viejo","0","07:06:00","1"
"296500085","07:12:00","07:12:00","154","9","Laguna Niguel / Mission Viejo","0","07:12:00","1"
"296500085","07:18:00","07:18:00","156","10","Laguna Niguel / Mission Viejo","0","07:18:00","1"
"296500085","07:26:00","07:26:00","140","11","Laguna Niguel / Mission Viejo","0","07:26:00","1"
"296500085","07:40:00","07:40:00","141","12","Laguna Niguel / Mission Viejo","0","07:40:00","1"
"296500087","06:50:00","06:50:00","123","1","Laguna Niguel / Mission Viejo","0","06:50:00","1"
"296500087","07:02:00","07:02:00","148","2","Laguna Niguel / Mission Viejo","0","07:02:00","1"
"296500087","07:10:00","07:10:00","147","3","Laguna Niguel / Mission Viejo","0","07:10:00","1"
"296500087","07:16:00","07:16:00","173","4","Laguna Niguel / Mission Viejo","0","07:16:00","1"
"296500087","07:36:00","07:36:00","171","5","Laguna Niguel / Mission Viejo","0","07:36:00","1"
"296500087","07:43:00","07:43:00","145","6","Laguna Niguel / Mission Viejo","0","07:43:00","1"
"296500087","07:48:00","07:48:00","154","7","Laguna Niguel / Mission Viejo","0","07:48:00","1"
"296500087","07:54:00","07:54:00","156","8","Laguna Niguel / Mission Viejo","0","07:54:00","1"
"296500087","08:02:00","08:02:00","140","9","Laguna Niguel / Mission Viejo","0","08:02:00","1"
"296500087","08:16:00","08:16:00","141","10","Laguna Niguel / Mission Viejo","0","08:16:00","1"
